review,sentimento,nota,banco
"Fila de espera eterna para falar com humano, é impossível Vou cancelar.",negativo,2,Neon
Satisfeito com o básico mas quero ver evolução nos próximos meses Está de bom tamanho.,neutro,3,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente com certeza.",positivo,5,Bradesco
"Sem cobranças escondidas, totalmente transparente com as tarifas com certeza.",positivo,5,Nubank
"Prefiro para conta corrente, para investimentos tem opções melhores Vou continuar usando.",neutro,3,Banco do Brasil
"Não consigo acessar minha conta há dias, suporte não resolve Vou cancelar.",negativo,2,Inter
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Bradesco
"Não consigo acessar minha conta há dias, suporte não resolve Não recomendo.",negativo,2,Next
"Suporte robotizado que não resolve nada, completamente inútil Nunca mais.",negativo,1,Inter
Suporte demora às vezes mas resolve no final das contas Está de bom tamanho.,neutro,3,Next
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Bradesco
"Sistema fora do ar nos fins de semana, totalmente irresponsável Péssimo.",negativo,1,Bradesco
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,1,PicPay
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Itaú
"Excelente experiência com o suporte via WhatsApp, muito ágil no geral.",positivo,4,PicPay
Suporte demora às vezes mas resolve no final das contas Vou continuar usando.,neutro,3,Inter
"Estorno demorou 30 dias, totalmente inadmissível ",negativo,2,Neon
"Aplicativo horrível no iOS, não abre desde a última atualização Vou cancelar.",negativo,2,Inter
"Melhor banco que já tive, zero tarifas e suporte incrível com certeza.",positivo,5,Banco do Brasil
Cobraram IOF absurdo sem informar antes da compra internacional ,negativo,1,PicPay
Transferência rejeitada sem motivo nenhum e sem explicação Absurdo.,negativo,2,Banco do Brasil
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Neon
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso ",neutro,3,Neon
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,C6 Bank
"Rendimento da conta superior aos outros bancos, ótima opção vale muito a pena.",positivo,4,Bradesco
"Cartão sem anuidade e cashback real, estou muito satisfeito ",positivo,5,Banco do Brasil
"Ótimo banco digital, recomendo para todos os meus amigos ",positivo,5,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Neon
"App lento e cheio de bugs, precisa melhorar urgentemente Vou cancelar.",negativo,1,Bradesco
"Cancelei o cartão e continuaram cobrando anuidade, absurdo ",negativo,1,Inter
"Abri minha conta em minutos, processo simples e rápido no geral.",positivo,4,Itaú
"App lento e cheio de bugs, precisa melhorar urgentemente Absurdo.",negativo,1,Itaú
Transferência rejeitada sem motivo nenhum e sem explicação Absurdo.,negativo,2,Inter
"Não consigo acessar o extrato antigo, app apagou tudo ",negativo,1,PicPay
Algumas funcionalidades boas mas falta o cartão físico virtual No geral ok.,neutro,3,Itaú
"Banco que valoriza o cliente, promoções e benefícios reais sempre.",positivo,5,Itaú
"App estável e bonito, atualizações sempre melhoram a experiência sempre.",positivo,4,Santander
"Não consigo acessar o extrato antigo, app apagou tudo Absurdo.",negativo,1,Neon
Atendentes mal treinados que não sabem responder nada Vou cancelar.,negativo,2,Neon
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Nubank
Transferência rejeitada sem motivo nenhum e sem explicação Vou cancelar.,negativo,1,Santander
"App simples e direto, sem muitos recursos mas cumpre o básico ",neutro,3,Bradesco
"Aplicativo horrível no iOS, não abre desde a última atualização Não recomendo.",negativo,2,Next
"App muito bom, transferências instantâneas sem nenhum problema ",positivo,5,Banco do Brasil
App travou durante uma transferência e o dinheiro sumiu do saldo Péssimo.,negativo,1,Bradesco
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sempre.",positivo,4,Next
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,Santander
Investi meu dinheiro pelo app e o processo foi muito simples no geral.,positivo,5,Next
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Banco do Brasil
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Absurdo.,negativo,1,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,2,C6 Bank
"Tarifas aceitáveis, não é o mais barato mas também não é caro ",neutro,3,Itaú
"Crédito aprovado na hora, processo 100% digital e sem burocracia vale muito a pena.",positivo,5,Next
"Melhor banco que já tive, zero tarifas e suporte incrível todo dia uso.",positivo,5,Banco do Brasil
"Melhor banco que já tive, zero tarifas e suporte incrível sem dúvida.",positivo,4,Neon
"Sem cobranças escondidas, totalmente transparente com as tarifas sempre.",positivo,4,Next
Bloquearam meu cartão sem motivo e não consegui desbloquear Evitem.,negativo,2,Next
"Não consigo acessar minha conta há dias, suporte não resolve Evitem.",negativo,2,Next
"Prefiro para conta corrente, para investimentos tem opções melhores Vou continuar usando.",neutro,3,Itaú
"App muito bom, transferências instantâneas sem nenhum problema todo dia uso.",positivo,5,Neon
App funciona bem na maioria das vezes mas às vezes trava ,neutro,3,Banco do Brasil
Atendimento ok mas poderia ser mais rápido em horários de pico Está de bom tamanho.,neutro,3,Inter
"Aplicativo horrível no iOS, não abre desde a última atualização ",negativo,2,Next
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,C6 Bank
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Decepcionante.,negativo,2,Banco do Brasil
"Cancelei o cartão e continuaram cobrando anuidade, absurdo Nunca mais.",negativo,1,Santander
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,Next
"Abri minha conta em minutos, processo simples e rápido do banco.",positivo,5,Inter
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado ",neutro,3,Bradesco
"Nunca tive problemas com o app, sempre funciona perfeitamente no geral.",positivo,4,Itaú
"Conta salário sem taxas, economizo muito todo mês todo dia uso.",positivo,5,Inter
Meu pix sumiu e o banco não me dá retorno nenhum Nunca mais.,negativo,2,Neon
